Date,Close,High,Low,Open,Volume
9/18/2020,19827.09961,20067.69922,19777.75,19889.94922,0
9/21/2020,19729,20331.59961,19683.84961,19855.55078,0
9/22/2020,19866.09961,20113.40039,19376.69922,19813.34961,0
9/23/2020,19805.65039,20226.30078,19615.15039,20016.80078,0
9/24/2020,18973.05078,19658,18914.69922,19630.30078,0
9/25/2020,19629.34961,19678.5,19077.84961,19108.75,0
9/28/2020,19783.05078,19836.94922,19463.65039,19774.75,0
9/29/2020,19831.80078,20146.34961,19782.34961,19891.05078,0
9/30/2020,19951.34961,20048.55078,19741.65039,19880.59961,0
10/1/2020,20110.40039,20196.05078,20009.30078,20129.80078,0
10/5/2020,20809,20940.90039,20341.44922,20375.90039,0
10/6/2020,20896.75,20995.30078,20573.90039,20995.30078,0
10/7/2020,21017.40039,21121.59961,20771.65039,20897.55078,0
10/8/2020,21697.25,22169.30078,21501.94922,21531.84961,0
10/9/2020,21837.65039,21922.75,21540.65039,21703.44922,0
10/12/2020,22202.09961,22320,21845.05078,21990.84961,0
10/13/2020,22492.59961,22619,22186.05078,22230.19922,0
10/14/2020,22204.05078,22490.30078,22129.94922,22475.84961,0
10/15/2020,21567.30078,22570.5,21364.15039,22473.65039,0
10/16/2020,21538.15039,21908.80078,21247.55078,21638.25,0
10/19/2020,21391.90039,21683.80078,21354.90039,21683.80078,0
10/20/2020,21694.34961,21779.80078,21346.05078,21397.5,0
10/21/2020,21577.65039,21892.30078,21406.09961,21757.05078,0
10/22/2020,21413.5,21767.05078,21290.44922,21480.69922,0
10/23/2020,21523.59961,21621.59961,21385.15039,21546.65039,0
10/26/2020,21265.69922,21595.80078,21148.65039,21493.30078,0
10/27/2020,21023.40039,21371.59961,20932.69922,21287.09961,0
10/28/2020,20810.30078,21194.75,20701,21121.90039,0
10/29/2020,20876.94922,20961.05078,20548.30078,20667.69922,0
10/30/2020,20916.84961,21197.30078,20797.5,20912.94922,0
11/2/2020,20732.30078,21012.44922,20669.34961,20964.15039,0
11/3/2020,20736,21017.94922,20679.65039,20792.25,0
11/4/2020,21104.55078,21468.44922,20765.80078,20769.90039,0
11/5/2020,21385.65039,21596,21284.59961,21383.69922,0
11/6/2020,21492.30078,21582.19922,21251.55078,21435.15039,0
11/9/2020,21820.15039,21926.90039,21620.55078,21751.65039,0
11/10/2020,20978.5,21633.09961,20862.69922,21633.09961,0
11/11/2020,21330.5,21365.65039,20967.80078,21029.25,0
11/12/2020,21363.34961,21610.05078,21291.69922,21380.19922,0
11/13/2020,21436.84961,21462,21219.80078,21305.34961,0
11/17/2020,21488.55078,21706.19922,21361.44922,21704.05078,0
11/18/2020,21314.84961,21557.09961,21153.84961,21519.15039,0
11/19/2020,21114.44922,21451.80078,21070.25,21285.75,0
11/20/2020,21409.25,21500.65039,21121.75,21275.34961,0
11/23/2020,22007.05078,22047.05078,21432.65039,21551.84961,0
11/24/2020,22064.30078,22281.84961,22016.94922,22099.59961,0
11/25/2020,21705.90039,22132.90039,21675.90039,22087.90039,0
11/26/2020,21859.90039,21919.15039,21544.05078,21717.40039,36600
11/27/2020,21764.90039,21972.94922,21697,21879.15039,0
12/1/2020,22170.90039,22216.44922,21814.40039,21921.09961,0
12/2/2020,22319,22371.55078,21961.44922,22149.34961,0
12/3/2020,22202.19922,22458.80078,22147.30078,22458.75,0
12/4/2020,22309.80078,22347.84961,22130.30078,22222.25,0
12/7/2020,22440.90039,22482.90039,22271,22333.30078,0
12/8/2020,22617.40039,22737.94922,22387.34961,22484.34961,0
12/9/2020,22803.44922,22895.5,22720.5,22799.94922,0
12/10/2020,22755.75,22809.55078,22606.59961,22693.94922,0
12/11/2020,22664,22901.75,22541.09961,22754.5,0
12/14/2020,22746.69922,22792.44922,22487.30078,22786,30500
12/15/2020,22715.09961,22779.69922,22608.34961,22656.34961,29900
12/16/2020,22906.25,22933.80078,22701.55078,22830.40039,0
12/17/2020,22892.25,22960.5,22835.40039,22913.15039,0
12/18/2020,23256.59961,23416.5,23148.5,23173.15039,0
12/21/2020,22844.59961,23506.69922,22458.15039,23233.5,0
12/22/2020,23611.59961,23680.90039,22745.25,22921.84961,0
12/23/2020,24167.75,24228.80078,23758.40039,23787.80078,0
12/24/2020,24009.25,24163.19922,23828.05078,24163.19922,0
12/28/2020,24100.30078,24192.05078,24037.80078,24065.40039,0
12/29/2020,24274.05078,24424.19922,24090.30078,24093.05078,0
12/30/2020,24330.05078,24394.75,24176.25,24312.5,0
12/31/2020,24251.34961,24295.19922,24137.80078,24255.94922,0
1/4/2021,25110.05078,25158.84961,24508.94922,24612.05078,0
1/5/2021,25769.15039,25824.15039,25029.84961,25057.65039,0
1/6/2021,25419.15039,26036.69922,25240.5,25841.30078,0
1/7/2021,25251.19922,25702.30078,25131.90039,25692.05078,0
1/8/2021,26162.40039,26227.5,25523.75,25558.30078,0
1/11/2021,27027.75,27095.75,26528,26703.19922,0
1/12/2021,26982.09961,27127.25,26805,27008,0
1/13/2021,27004.30078,27103.90039,26737.40039,27077.69922,0
1/14/2021,26965.55078,27176.5,26245.09961,26804.65039,0
1/15/2021,26362.80078,27037.65039,26301.40039,26939.69922,0
1/18/2021,25916.25,26423.59961,25830.40039,26395.59961,54400
1/19/2021,26043.5,26254.05078,25987.30078,26080.09961,41600
1/20/2021,26619.69922,26758.09961,26142.94922,26147.19922,0
1/21/2021,26450.15039,26872.94922,26321.80078,26808.5,0
1/22/2021,26489.75,26667.55078,26292.80078,26316.55078,0
1/25/2021,26023.30078,26685.80078,25911.80078,26607.65039,0
1/27/2021,25865.30078,26236.55078,25628.69922,26073.09961,0
1/28/2021,25301.25,25807.65039,25239.69922,25639.90039,0
1/29/2021,24645.75,25539.84961,24559.65039,25516.80078,0
2/1/2021,24922.69922,25139.15039,24308.90039,24709.25,0
2/2/2021,25447.80078,25574.75,25107.19922,25277.44922,38500
2/3/2021,25680.90039,25949.69922,25341.40039,25590.05078,35500
2/4/2021,25570.05078,25862.5,25505.25,25749.69922,0
2/5/2021,25331.59961,25733.5,25188.40039,25689.69922,0
2/8/2021,25915.59961,26028,25415.94922,25588.5,0
2/9/2021,25779.15039,26301.19922,25659.90039,25933.80078,0
2/10/2021,25885.30078,25941.05078,25570.19922,25779.90039,0
2/11/2021,26043.44922,26080.15039,25795.84961,25860.84961,0
2/12/2021,26093.80078,26455.05078,26012.25,26111.80078,0
2/15/2021,26001.09961,26279.30078,25959.09961,26243.09961,0
2/16/2021,25613.94922,26167.84961,25519.94922,26130.40039,0
2/17/2021,25282.94922,25672.25,25234.69922,25610.40039,0
2/18/2021,25618.55078,25686.84961,25262.65039,25270.94922,0
2/19/2021,25503.19922,25676,25292.65039,25634.94922,0
2/22/2021,24766.44922,25617.34961,24646.44922,25579.75,0
2/23/2021,24807.80078,25199.59961,24709.15039,24933.69922,0
2/24/2021,24779.40039,24872.34961,24518.69922,24814.55078,19700
2/25/2021,24872.44922,25199.80078,24830.69922,24979,34500
2/26/2021,24301.44922,24689,24212.80078,24611.19922,0
3/1/2021,24556.30078,24846.09961,24451.44922,24494.65039,0
3/2/2021,25301.84961,25435.40039,24770.34961,24809.69922,0
3/3/2021,25772.65039,25814.90039,25331.40039,25582.59961,0
3/4/2021,25631.84961,25981.34961,25450.44922,25471.69922,0
3/5/2021,25229.59961,25697.75,25113.44922,25504.69922,0
3/8/2021,25347.94922,25549.30078,25259.59961,25368.19922,0
3/9/2021,25582.34961,25685.80078,25095.34961,25388.80078,0
3/10/2021,26010.09961,26136.55078,25782.30078,25862.05078,0
3/12/2021,25888.25,26298,25819.90039,26060.44922,0
3/15/2021,26032.05078,26094.15039,25651.80078,25859.15039,0
3/16/2021,26363.84961,26602.65039,26111.09961,26132.44922,0
3/17/2021,26183.5,26657.09961,26113.75,26378.19922,0
3/18/2021,25373.34961,26395.94922,25012.5,26365.90039,0
3/19/2021,25562.75,25687.40039,25028.30078,25273.34961,0
3/22/2021,26035.34961,26102.80078,25418.44922,25649.05078,0
3/23/2021,26105.69922,26315.80078,25928,26105.69922,0
3/24/2021,25802.94922,26114.59961,25738.15039,25863.55078,0
3/25/2021,25237.09961,25766,25131.40039,25739.80078,0
3/26/2021,25385.09961,25687.05078,25276.59961,25475.30078,0
3/30/2021,26121.09961,26306.65039,25429.19922,25531.09961,44200
3/31/2021,25855,26130.59961,25788,26130.59961,0
4/1/2021,25980.40039,26289.09961,25855.34961,26039.84961,0
4/5/2021,26491.40039,26630.80078,25978.94922,26035.5,0
4/6/2021,26532.19922,26715.19922,26403.44922,26715.19922,0
4/7/2021,26831,26899.19922,26401.69922,26514.94922,0
4/8/2021,27148.40039,27413.55078,26845.84961,26899.5,0
